epoch,train_gen_loss,val_gen_loss
1,1.0051732,0.9693161
2,1.2987088,0.53966963
3,1.8060613,0.45041063
4,3.6225615,2.734886
5,0.85841954,0.5599414
6,1.0938385,0.4527451
7,1.5792934,0.7007759
8,2.7081676,0.47270817
9,0.73367554,0.39194572
10,0.9290284,2.1229606
11,1.3366581,0.7372503
12,2.1564085,0.22457322
13,0.6501645,0.4351208
14,0.8128176,0.8427096
15,1.1012775,0.6523664
16,1.677733,0.34217054
17,0.5640168,1.2034769
18,0.69925594,0.5649075
19,0.9618883,0.377037
20,1.3502742,0.6277978
21,0.49830273,0.55391955
22,0.61505365,0.37654725
23,0.8349843,1.6589414
24,1.1562479,0.69404954
